Iteration,Max Centroid Shift,Count Cluster 1,Count Cluster 2,Count Cluster 3,Count Cluster 4,Count Cluster 5,Notes
1,39.730038,11104,19602,91302,100179,67637,Initial rapid shift from random centroids
2,2.165181,19750,25376,79420,100179,53537,Significant drop in shift
3,1.179560,25272,28554,69472,100179,45025,Continued convergence
4,0.688981,28535,30411,62558,100179,40185,Steady decrease
5,0.423766,30445,31424,58028,100179,37477,Approaching steady state
6,0.281457,31404,31941,55102,100179,35883,Continuing asymptotic decay
10,0.162984,32618,32757,52124,100179,34521,Mid-run steady state
15,0.128756,32931,33078,50982,100179,34130,Approaching asymptote
20,0.120345,33052,33214,50421,100179,34034,Near asymptote
25,0.114110,33173,33368,50027,100179,33573,Slow drift on cluster boundaries
30,0.108234,33208,33389,49779,100179,33445,Asymptotic behavior
35,0.102567,33214,33397,49678,100179,33432,Boundary drift continues
40,0.091823,33218,33401,49602,100179,33400,Very slow convergence
45,0.083445,33126,33591,49896,100179,33308,Boundary-drifting regime
49,0.077891,33132,33584,49843,100179,33501,Near termination
50,0.076721,33130,33604,49870,100179,33518,Final iteration (maxIter reached)
